Symbol,Sector
QQQ,Technology
VNQ,Real Estate
XLK,Technology
VGT,Technology
XLV,Healthcare
XLF,Financials
XLP,Consumer Staples
GDX,Materials
XLU,Utilities
XLY,Consumer Discretionary
VHT,Healthcare
XLI,Industrials
FDN,Technology
XLE,Energy
XLC,Consumer Discretionary
IBB,Healthcare
VFH,Financials
SCHH,Real Estate
VDC,Consumer Staples
VNQI,Real Estate
IYW,Technology
IHI,Healthcare
VPU,Utilities
XBI,Healthcare
IYR,Real Estate
IGV,Technology
AMLP,Energy
XLRE,Real Estate
ITA,Industrials
GUNR,Materials
FTEC,Technology
IGF,Utilities
IXN,Technology
XLB,Materials
VIS,Industrials
KWEB,Technology
SOXX,Technology
VCR,Consumer Discretionary
SKYY,Technology
QTEC,Technology
ARKK,Technology
VDE,Energy
IYH,Healthcare
XT,Technology
IXJ,Healthcare
ICF,Real Estate
EMLP,Utilities
SMH,Technology
REET,Real Estate
IGM,Technology
VOX,Telecom
FXL,Technology
RWO,Real Estate
RWR,Real Estate
XOP,Energy
FBT,Healthcare
FHLC,Healthcare
FXH,Healthcare
RYT,Technology
XAR,Industrials
USRT,Real Estate
NFRA,Utilities
IEV,Consumer Staples
CIBR,Technology
VAW,Materials
RWX,Real Estate
HACK,Technology
IYF,Financials
KRE,Financials
AMJ,Energy
KBE,Financials
TDIV,Technology
ROBO,Technology
PHO,Industrials
BBRE,Real Estate
IDU,Utilities
IYG,Financials
FXU,Utilities
FUTY,Utilities
FAS,Financials
ITB,Consumer Discretionary
IHF,Healthcare
NUGT,Materials
SOXL,Technology
FREL,Real Estate
REM,Real Estate
PPA,Industrials
TECL,Technology
KXI,Consumer Staples
IYC,Consumer Discretionary
GNR,Materials
FNCL,Financials
RYH,Healthcare
CQQQ,Technology
IYJ,Industrials
KIE,Financials
XHB,Materials
FXO,Financials
IXC,Energy
CGW,Industrials
FDIS,Consumer Discretionary
EUFN,Financials
ARKG,Healthcare
FSTA,Consumer Staples
ICLN,Energy
MOO,Materials
IPAY,Technology
ARKW,Technology
JNUG,Materials
PNQI,Technology
MLPX,Energy
RHS,Consumer Staples
FIW,Industrials
TAN,Energy
MLPA,Energy
NANR,Materials
IYK,Consumer Staples
XHE,Healthcare
CLOU,Technology
FCOM,Telecom
LIT,Materials
EMQQ,Technology
SIL,Materials
ERUS,Energy
FINX,Technology
UYG,Financials
SRVR,Real Estate
IYT,Industrials
PSJ,Technology
REZ,Real Estate
XSD,Technology
KBWB,Financials
PSCH,Healthcare
JETS,Industrials
FENY,Energy
BBH,Healthcare
RYU,Utilities
RING,Materials
GII,Utilities
GQRE,Real Estate
XNTK,Technology
SRET,Real Estate
IYZ,Telecom
OIH,Energy
PJP,Healthcare
NXTG,Telecom
FIDU,Industrials
FAZ,Financials
IGE,Materials
XRT,Consumer Discretionary
IYE,Energy
LABU,Healthcare
IHE,Healthcare
IFGL,Real Estate
ROM,Technology
XME,Materials
TPYP,Energy
IXP,Telecom
IYM,Materials
FIVG,Technology
FXG,Consumer Staples
MLPI,Energy
IAT,Financials
PSI,Technology
PSCT,Technology
IXG,Financials
PBW,Energy
HAUZ,Real Estate
PZD,Energy
PBE,Healthcare
PTH,Healthcare
IBUY,Consumer Discretionary
ECON,Consumer Staples
XPH,Healthcare
PPH,Healthcare
XSW,Technology
WOOD,Materials
KBWD,Financials
GASX,Energy
KBWY,Real Estate
RYF,Financials
PIO,Industrials
RXI,Consumer Discretionary
SGDM,Materials
FXR,Industrials
BIZD,Financials
SBIO,Healthcare
JXI,Utilities
PTF,Technology
SOXS,Technology
QCLN,Energy
EXI,Industrials
FXD,Consumer Discretionary
ATMP,Energy
RGI,Industrials
PICK,Materials
IAI,Financials
GREK,Energy
VPC,Financials
HDGE,Financials
ACES,Energy
DUST,Materials
CHIQ,Consumer Discretionary
PSP,Financials
ERX,Energy
MXI,Materials
ESPO,Consumer Discretionary
NRGD,Energy
SNSR,Technology
URA,Materials
BIB,Healthcare
FMAT,Materials
REMX,Materials
PSL,Consumer Staples
DFNL,Financials
NRGZ,Energy
TOLZ,Utilities
MORT,Real Estate
FRI,Real Estate
SOCL,Technology
IEUS,Technology
SILJ,Materials
PSR,Real Estate
VRAI,Real Estate
MLPB,Energy
PPTY,Real Estate
PAVE,Industrials
XTN,Industrials
CURE,Healthcare
RTM,Materials
FAN,Energy
GUSH,Energy
PUI,Utilities
IEO,Energy
YGRN,Energy
SMOG,Energy
RTH,Consumer Discretionary
ITEQ,Technology
DRW,Real Estate
QABA,Financials
AMU,Energy
WPS,Real Estate
SLVP,Materials
RXL,Healthcare
BLOK,Technology
GAMR,Technology
CUT,Materials
KBWP,Financials
AMZA,Energy
JDST,Materials
INCO,Consumer Discretionary
URE,Real Estate
HERO,Consumer Discretionary
XHS,Healthcare
IRBO,Technology
FTXO,Financials
PKB,Materials
PRN,Industrials
FXZ,Materials
IAK,Financials
PBJ,Consumer Staples
LABD,Healthcare
XES,Energy
WBIL,Consumer Staples
XITK,Technology
TECS,Technology
PEJ,Consumer Discretionary
USD,Technology
DFEN,Industrials
BLCN,Technology
PBD,Energy
VMOT,Consumer Discretionary
BTEC,Healthcare
OGIG,Technology
NAIL,Consumer Discretionary
GOAU,Materials
DIG,Energy
WBIF,Telecom
ISRA,Technology
RCD,Consumer Discretionary
WBIE,Consumer Staples
CLIX,Consumer Staples
IGN,Technology
CWEB,Technology
INDS,Real Estate
FCG,Energy
NURE,Real Estate
YLCO,Energy
FFR,Real Estate
RYE,Energy
HAP,Materials
XTL,Telecom
ROOF,Real Estate
AIQ,Technology
CHIX,Financials
BDCZ,Financials
COPX,Materials
MLPC,Energy
SLX,Materials
SGDJ,Materials
WCLD,Technology
PSCF,Financials
NETL,Real Estate
PXQ,Technology
JHMH,Healthcare
PFI,Financials
LEGR,Technology
YOLO,Healthcare
KBWR,Financials
PSCC,Consumer Staples
